ITINERARI,SECCIO,LENGTH,SOURCETHM,X_MID,Y_MID,X_BEG,Y_BEG,Y_END,X_END,BUFF_DIST,ORIG_FID,_count,_sum,_mean
"2","5",370.09828584800,Itineraris.shp,343083.53637699998,4723510.52307999972,343251.01980000001,4723470.26200000010,4723388.24100000039,342989.08179999999,500.00000000000,"16",11043.000000000000000,111346.864754348993301,10.083026782065470
"2","6",529.28758767100,Itineraris.shp,342917.15468799998,4723626.85580999963,342989.08179999999,4723388.24100000039,4723851.26269999985,342814.45640000002,500.00000000000,"17",13013.000000000000000,142082.998168140649796,10.918542854694586
"171","1",571.41311202400,Itineraris.shp,508477.35473399999,4671892.86160000041,508637.43880000000,4672129.50760000013,4671659.60659999959,508322.05479999998,500.00000000000,"18",13532.000000000000000,5908.613238297868520,0.436640056037383
"171","2",614.03960049100,Itineraris.shp,508092.31880700000,4671473.43883999996,508322.05479999998,4671659.60659999959,4671366.66260000039,507844.78129999997,500.00000000000,"19",13743.000000000000000,7439.424117395654321,0.541324610157582
"171","3",443.42023669800,Itineraris.shp,507641.20791599998,4671287.45609000046,507844.78129999997,4671366.66260000039,4671230.13729999959,507433.08880000003,500.00000000000,"20",12260.000000000000000,8078.062488149851561,0.658895798380901
"171","4",617.32107997800,Itineraris.shp,507189.01813899999,4671094.31429000013,507433.08880000003,4671230.13729999959,4670812.09480000008,507118.76319999999,500.00000000000,"21",13768.000000000000000,9774.814628382213414,0.709966199039963
"171","5",479.95148273400,Itineraris.shp,506991.79200299998,4670608.61289000046,507118.76319999999,4670812.09480000008,4670407.54609999992,506860.79389999999,500.00000000000,"22",12647.000000000000000,9810.428589997813106,0.775711915078502
"171","6",601.87386742900,Itineraris.shp,506729.05279900000,4670137.48703000043,506860.79389999999,4670407.54609999992,4669911.98049999960,506537.20789999998,500.00000000000,"23",13870.000000000000000,10888.809742902405560,0.785061985789647
"4","1",677.57655025600,Itineraris.shp,504608.44590599998,4626679.60388000030,504661.30719999998,4626378.02190000005,4626803.47279999964,504324.75650000002,500.00000000000,"24",5922.000000000000000,15097.975324686616659,2.549472361480347
"4","2",411.70377737700,Itineraris.shp,504127.79141200002,4626852.02335000038,504324.75650000002,4626803.47279999964,4626964.15820000041,503999.00390000001,500.00000000000,"25",8167.000000000000000,26043.067192092537880,3.188816847323685
"4","3",668.67926175600,Itineraris.shp,503753.70668599999,4627128.52343999967,503999.00390000001,4626964.15820000041,4627400.19240000006,503651.86989999999,500.00000000000,"26",12852.000000000000000,42265.165534853942518,3.288606095148921
"4","4",518.70023773700,Itineraris.shp,503556.18401700002,4627632.93448999990,503651.86989999999,4627400.19240000006,4627889.14340000041,503516.40289999999,500.00000000000,"27",13029.000000000000000,45601.965074583888054,3.500035695339925
"4","5",550.56434417000,Itineraris.shp,503423.26939999999,4628140.72936999984,503516.40289999999,4627889.14340000041,4628374.91940000001,503287.80249999999,500.00000000000,"28",13303.000000000000000,33414.815018869936466,2.511825529494846
"4","6",546.62403132900,Itineraris.shp,503237.02539999998,4628601.97764999978,503294.15250000003,4628334.70260000043,4628869.25270000007,503179.89830000000,500.00000000000,"29",13315.000000000000000,25899.429114339407533,1.945131739717567
"6","1",623.00316458700,Itineraris.shp,444860.26758400002,4637334.22085999977,445024.87719999999,4637480.10269999970,4637223.98560000025,444601.54310000001,500.00000000000,"30",13550.000000000000000,106682.129981815814972,7.873219924857256
"6","2",474.93783290400,Itineraris.shp,444545.80877300003,4637443.33990999963,444601.54310000001,4637223.98560000025,4637653.66970000044,444531.69290000002,500.00000000000,"31",12377.000000000000000,94859.295253038406372,7.664158944254538
"6","3",530.29860077200,Itineraris.shp,444413.90215500002,4637870.05738000013,444535.92629999999,4637636.73639999982,4638059.01219999976,444239.59230000002,500.00000000000,"32",13121.000000000000000,90944.588898539543152,6.931223908127396
"6","4",363.83617094800,Itineraris.shp,444094.71901100001,4638114.42717000004,444239.59230000002,4638059.01219999976,4638156.37909999955,443932.67509999999,500.00000000000,"33",11191.000000000000000,64930.188947260379791,5.802000620789954
"6","5",591.86972277000,Itineraris.shp,443760.60295400000,4638350.92494999990,443947.49170000001,4638147.91239999980,4638616.75499999989,443716.77460000000,500.00000000000,"34",13581.000000000000000,63905.305586189031601,4.705493379441060
"6","6",438.42978298400,Itineraris.shp,443560.05768899998,4638650.20385000017,443716.77460000000,4638616.75499999989,4638774.44699999969,443388.69059999997,500.00000000000,"35",11769.000000000000000,43102.408183544874191,3.662367931306387
"7","1",826.79108025600,Itineraris.shp,404627.93077099998,4598873.70096000005,404977.81569999998,4598680.67910000030,4599087.07990000024,404503.68150000001,500.00000000000,"36",15323.000000000000000,84340.217844963059179,5.504158313970050
"7","2",743.93728721500,Itineraris.shp,404229.34670599998,4599305.90562999994,404503.68150000001,4599087.07990000024,4599594.02259999979,404025.31380000000,500.00000000000,"37",15020.000000000000000,87809.090566873550415,5.846144511775870
"7","3",382.91369459500,Itineraris.shp,403879.78983999998,4599668.14126999956,404025.31380000000,4599594.02259999979,4599714.67279999983,403722.62990000000,500.00000000000,"38",11303.000000000000000,68396.732767581939697,6.051201695795978
"7","4",334.15493571500,Itineraris.shp,403616.31317699997,4599605.90204000007,403722.62990000000,4599714.67279999983,4599697.73950000014,403546.94620000001,500.00000000000,"39",10549.000000000000000,66192.967833936214447,6.274809729257392
"7","5",471.09216989300,Itineraris.shp,403355.35868800001,4599803.74789999984,403546.94620000001,4599697.73950000014,4599857.54810000025,403140.54540000000,500.00000000000,"40",12358.000000000000000,79245.540852665915736,6.412489144899330
