"","Id","nom","IA","ORSO","suivi_sais","LENGTH"
"186","0","Auéran2014",NA,NA,NA,10546.96113
"187","0","Prunadière2014",NA,NA,NA,11092.04528
"188","0","Er_Gazies2014","oui","oui","oui",9614.61815
"189","0","Pouill2014",NA,NA,NA,6209.7749
"190","0","Aulus2014",NA,NA,NA,9990.5795
"191","0","Trapech2014",NA,NA,NA,7620.52939
"192","0","Joubac2014",NA,NA,NA,8221.14673
"193","0","Fos2014",NA,NA,NA,8227.68311
"194","0","Couledoux2014",NA,NA,NA,9740.99654
"195","0","Bezin Garraux 2014",NA,NA,NA,3023.06576
"196","0","ChapelleIsard2014",NA,NA,NA,15192.01876
"197","0","Nede2014",NA,NA,NA,6214.23869
"198","0","Bethmale2014",NA,NA,NA,4853.41992
"199","0","Cazabedes2014",NA,NA,NA,9828.57907
"200","0","Estours-Pause2014",NA,NA,NA,11321.06185
"201","0","Rouze2014",NA,NA,NA,5938.96856
"202","0","Besset2014",NA,NA,NA,9120.8869
"203","0","Tremuls2014",NA,NA,NA,2656.90836
"204","0","Aillos2014",NA,NA,NA,9756.48852
"205","0","AuzatArtigue2014",NA,NA,NA,6974.40373
"206","0","Ossese2014",NA,NA,NA,6173.77409
"207","0","Arrioutort2014",NA,NA,NA,8985.63861
"208","0","Tuquet2014",NA,NA,NA,8290.31308
"209","0","Cagateille",NA,NA,NA,2631.89423
"210","0","Saleix",NA,NA,NA,8804.22255
"211","0","Esbas",NA,NA,NA,5452.33114
"212","0","Rioumajou",NA,NA,NA,6993.34908
"213","0","Escalère",NA,NA,NA,3911.9764
"214","0","Salode",NA,NA,NA,8418.36454
"215","0","Burat",NA,NA,NA,4991.86085
"216","0","Gar",NA,NA,NA,6176.31246
"217","0","Col des Cassaings",NA,NA,NA,9436.47533
"218","0","Cazaux de Larboust",NA,NA,NA,7718.84999
"219","0","Bourg Oueil",NA,NA,NA,7073.91047
"220","0","Aube Ourtiga",NA,NA,NA,6253.4962
"221","0","Vallee du Lys",NA,NA,NA,7121.61143
"222","0","Bareille",NA,NA,NA,7520.37361
"223","0","Sost",NA,NA,NA,8263.93295
"224",NA,"Auzout",NA,NA,NA,NA
"225",NA,"Bilingue",NA,NA,NA,NA
"226",NA,"Bastard",NA,NA,NA,NA
"227",NA,"Serideres",NA,NA,NA,NA
"228",NA,"Les Antennes",NA,NA,NA,NA
